,0
637,0.7096153846153846
638,0.6073657927590512
639,0.2714285714285714
640,0.5476904619076185
641,0.8447698744769875
642,0.8922582946842669
643,0.748788012340238
644,0.842560553633218
645,0.7366099558916194
646,0.7464864864864865
647,0.7908930150309461
648,0.847384855581577
649,0.7882011605415861
650,0.6901629072681704
651,0.6251522533495737
652,0.622847543049139
653,0.8018867924528302
654,0.8881381381381381
655,0.90625
656,0.8776009791921665
657,0.8675305975521959
658,0.8673851921274601
659,0.9038803844784621
660,0.8442120447169131
661,0.8316
662,0.8376565295169947
663,0.8563892145369285
664,0.8484641638225257
665,0.8408723747980614
666,0.9113372093023255
667,0.8081023454157783
668,0.8653100775193798
669,0.8726591760299626
670,0.8578028747433265
671,0.7238987166146376
672,0.8602707006369427
673,0.7429748969651555
674,0.6303643724696356
675,0.7825822168087698
676,0.6276026174895896
677,0.5997277059223962
678,0.6130790190735694
679,0.2662090007627765
680,0.76497277676951
681,0.562057574327513
682,0.5984555984555985
683,0.8297114356964731
684,0.8486657303370787
685,0.7949680811115284
686,0.7618464052287581
687,0.7149510945505356
688,0.7426132632961261
689,0.6736725663716814
690,0.947076923076923
691,0.9302458547741567
692,0.7584406543682561
693,0.6771265560165975
694,0.8912434325744308
695,0.8804862444017915
696,0.881709162882757
697,0.9109941380547912
698,0.9227734608487747
699,0.9050519903371494
700,0.8720341939986044
701,0.4805605310293963
702,0.5709885186222347
703,0.46376354265278213
704,0.6910491689750693
705,0.7097035768988197
706,0.7968482665466007
707,0.8858350951374208
708,0.6422006127614227
709,0.22141119221411193
710,0.8277511961722488
711,0.8228591160220995
712,0.7728606909008806
713,0.9018368846436444
714,0.8677444706410689
715,0.8196783781723954
716,0.867129502337091
717,0.8776153433476395
718,0.8489682784108408
719,0.8923978819969742
720,0.9523334558244527
721,0.9450057888643301
722,0.9388087972219299
723,0.9294994564936073
724,0.9452430196483971
725,0.9294098467557874
726,0.8912118852213503
727,0.859592773157442
728,0.9523110316649642
729,0.9282545805207328
730,0.8688273658991083
731,0.8736873914028859
732,0.8509122919334187
733,0.8333333333333334
734,0.7530370370370371
735,0.6177411979881116
736,0.7037401574803149
737,0.8267213862289101
738,0.8504498914055229
739,0.78892677382692
740,0.8785690102697212
741,0.7245685279187817
742,0.7856098006948253
743,0.6971980847668027
744,0.6737146672601825
745,0.8121380451483277
746,0.8773120225170888
747,0.7969831165236645
748,0.8682539048456038
749,0.9180986028585193
750,0.953562874251497
751,0.8847227887421166
752,0.9346067607072914
753,0.8748178666532683
754,0.7830771361307298
755,0.7508765689313481
756,0.8086559257369201
757,0.7977109144542773
758,0.7535761872438846
759,0.7982093180914978
760,0.79490022172949
761,0.685454939445742
762,0.7297421837200193
763,0.7287471767023884
764,0.7478617774282343
765,0.7345014158576052
766,0.7351407215132069
767,0.759057542031731
768,0.7209391014181862
769,0.6912188920940693
770,0.6901827964737816
771,0.7536117865827493
772,0.7420676381633214
773,0.7219488817891374
774,0.7007574557094413
775,0.7247211345464117
776,0.7113205621150771
777,0.7443768094425062
778,0.7768692477371263
779,0.8000954405448788
780,0.8076553711071478
781,0.7633600261480634
782,0.8710826210826211
783,0.7935993975903615
784,0.7787812442984857
785,0.8241859243697479
786,0.8435361901332373
787,0.7004773269689738
788,0.5309544282029235
789,0.4460347254809948
790,0.25199180514454816
791,0.09092758340113914
792,0.46040044493882093
793,0.7388262728332685
794,0.8802744645376427
795,0.9079629521756859
796,0.8656119991241515
797,0.8305341201392041
798,0.7890822477153412
799,0.7724688817014603
800,0.8694022164544968
801,0.9383702846395892
802,0.8797312023247367
803,0.818797924250639
804,0.7574108431251289
805,0.9323426894147863
806,0.9467006850272612
807,0.9308757471136355
808,0.9002386812858955
809,0.8697007001615757
810,0.9266703076643
811,0.8947407162047771
812,0.902891965959902
813,0.9174357221525958
814,0.9241332372487789
815,0.9069920534160907
816,0.9388516703385639
817,0.9057542279700508
818,0.8355104721593811
819,0.9338736039226369
820,0.9221843557286595
821,0.8830907775186942
822,0.6361281968274523
823,0.6796967895362663
824,0.5424494649227111
825,0.7253521126760564
826,0.7948216902784563
827,0.9340949033391915
828,0.8876899361374146
